,home_team,away_team,season_type,season,week,game_date,start_time,game_id,stadium,roof,surface,condition,temperature,humidity,wind
109,BAL,CHI,REG,2025,8,2025-10-26,"10/26/25, 13:02:18",2025_08_CHI_BAL,M&T Bank Stadium,outdoors,grass,Clear ,60,38,NE 2
110,NE,CLE,REG,2025,8,2025-10-26,"10/26/25, 13:02:47",2025_08_CLE_NE,Gillette Stadium,outdoors,fieldturf,Sunny ,53,52,SE 7
111,DEN,DAL,REG,2025,8,2025-10-26,"10/26/25, 16:25:24",2025_08_DAL_DEN,Empower Field at Mile High,outdoors,grass,Cloudy ,67,25,N 4
112,PIT,GB,REG,2025,8,2025-10-26,"10/26/25, 20:22:35",2025_08_GB_PIT,Acrisure Stadium,outdoors,grass,Clear ,46,56,NE 5
113,ATL,MIA,REG,2025,8,2025-10-26,"10/26/25, 13:02:35",2025_08_MIA_ATL,Mercedes-Benz Stadium,closed,fieldturf,None ,None,None,NE None
114,LAC,MIN,REG,2025,8,2025-10-23,"10/23/25, 20:15:59",2025_08_MIN_LAC,SoFi Stadium,dome,matrixturf,Sunny ,68,74,W 12
115,PHI,NYG,REG,2025,8,2025-10-26,"10/26/25, 13:02:46",2025_08_NYG_PHI,Lincoln Financial Field,outdoors,grass,Sunny ,60,41,N 4
116,CIN,NYJ,REG,2025,8,2025-10-26,"10/26/25, 13:02:51",2025_08_NYJ_CIN,Paycor Stadium,outdoors,fieldturf,Cloudy ,57,48,NE 8
117,HOU,SF,REG,2025,8,2025-10-26,"10/26/25, 13:03:11",2025_08_SF_HOU,NRG Stadium,closed,astroturf,,71,88,N 1
118,NO,TB,REG,2025,8,2025-10-26,"10/26/25, 16:05:39",2025_08_TB_NO,Mercedes-Benz Superdome,dome,sportturf,,79,77,S 10
119,IND,TEN,REG,2025,8,2025-10-26,"10/26/25, 16:25:33",2025_08_TEN_IND,Lucas Oil Stadium,closed,fieldturf,,52,53,E 2
120,KC,WAS,REG,2025,8,2025-10-27,"10/27/25, 20:16:02",2025_08_WAS_KC,GEHA Field at Arrowhead Stadium,outdoors,grass,,54,94,NE 8
121,DAL,ARI,REG,2025,9,2025-11-03,"11/3/25, 20:15:44",2025_09_ARI_DAL,AT&T Stadium,closed,matrixturf,None ,None,None,NE None
122,NE,ATL,REG,2025,9,2025-11-02,"11/2/25, 13:02:20",2025_09_ATL_NE,Gillette Stadium,outdoors,fieldturf,Sunny ,52,51,SE 7
123,MIA,BAL,REG,2025,9,2025-10-30,"10/30/25, 20:16:06",2025_09_BAL_MIA,Hard Rock Stadium,outdoors,grass,Clear ,73,57,NW 5
124,GB,CAR,REG,2025,9,2025-11-02,"11/2/25, 13:02:52",2025_09_CAR_GB,Lambeau Field,outdoors,grass,Cloudy ,47,53,SW 15
125,CIN,CHI,REG,2025,9,2025-11-02,"11/2/25, 13:02:35",2025_09_CHI_CIN,Paycor Stadium,outdoors,fieldturf,Cloudy ,50,74,NE 6
126,HOU,DEN,REG,2025,9,2025-11-02,"11/2/25, 13:02:54",2025_09_DEN_HOU,NRG Stadium,closed,astroturf,,67,59,N 7
127,PIT,IND,REG,2025,9,2025-11-02,"11/2/25, 13:02:29",2025_09_IND_PIT,Acrisure Stadium,outdoors,grass,Cloudy ,56,66,SE 2
128,LV,JAX,REG,2025,9,2025-11-02,"11/2/25, 16:05:28",2025_09_JAX_LV,Allegiant Stadium,dome,grass,,80,13,E 2
129,BUF,KC,REG,2025,9,2025-11-02,"11/2/25, 16:25:33",2025_09_KC_BUF,New Era Field,outdoors,a_turf,Fair ,54,55,SW 6
130,TEN,LAC,REG,2025,9,2025-11-02,"11/2/25, 13:02:42",2025_09_LAC_TEN,Nissan Stadium,outdoors,grass,Cloudy ,46,84,N 5
131,DET,MIN,REG,2025,9,2025-11-02,"11/2/25, 13:03:03",2025_09_MIN_DET,Ford Field,dome,fieldturf,,68,70,
132,LA,NO,REG,2025,9,2025-11-02,"11/2/25, 16:05:17",2025_09_NO_LA,SoFi Stadium,dome,matrixturf,Sunny ,65,75,SW 8
133,WAS,SEA,REG,2025,9,2025-11-02,"11/2/25, 20:22:50",2025_09_SEA_WAS,FedExField,outdoors,grass,,52,70,E 3
134,NYG,SF,REG,2025,9,2025-11-02,"11/2/25, 13:02:52",2025_09_SF_NYG,MetLife Stadium,outdoors,fieldturf,Fair ,56,47,SW 5
135,SEA,ARI,REG,2025,10,2025-11-09,"11/9/25, 16:06:08",2025_10_ARI_SEA,Lumen Field,outdoors,fieldturf,Cloudy ,59,72,SW 5
136,IND,ATL,REG,2025,10,2025-11-09,"11/9/25, 09:35:07",2025_10_ATL_IND,Lucas Oil Stadium,closed,grass,Cloudy ,46,80,SW 2
137,MIN,BAL,REG,2025,10,2025-11-09,"11/9/25, 13:02:48",2025_10_BAL_MIN,U.S. Bank Stadium,dome,sportturf,,28,58,NE 4
138,MIA,BUF,REG,2025,10,2025-11-09,"11/9/25, 13:02:59",2025_10_BUF_MIA,Hard Rock Stadium,outdoors,grass,Partly Cloudy ,84,68,SE 6
