,home_team,away_team,season_type,season,week,game_date,start_time,game_id,stadium,roof,surface,condition,temperature,humidity,wind
235,NO,NYJ,REG,2025,16,2025-12-21,"12/21/25, 13:02:18",2025_16_NYJ_NO,Mercedes-Benz Superdome,dome,sportturf,,74,81,SW 4
236,WAS,PHI,REG,2025,16,2025-12-20,"12/20/25, 17:03:00",2025_16_PHI_WAS,FedExField,outdoors,grass,Clear ,42,49,SE 7
237,DET,PIT,REG,2025,16,2025-12-21,"12/21/25, 16:25:44",2025_16_PIT_DET,Ford Field,dome,fieldturf,,68,70,
238,IND,SF,REG,2025,16,2025-12-22,"12/22/25, 20:17:06",2025_16_SF_IND,Lucas Oil Stadium,closed,fieldturf,Cloudy ,46,42,SE 4
239,CAR,TB,REG,2025,16,2025-12-21,"12/21/25, 13:02:51",2025_16_TB_CAR,Bank of America Stadium,outdoors,grass,Partly Cloudy ,61,28,N 8
240,CIN,ARI,REG,2025,17,2025-12-28,"12/28/25, 13:02:25",2025_17_ARI_CIN,Paycor Stadium,outdoors,fieldturf,Overcast ,65,87,SW 9
241,GB,BAL,REG,2025,17,2025-12-27,"12/27/25, 20:10:29",2025_17_BAL_GB,Lambeau Field,outdoors,grass,Cloudy ,36,95,SE 10
242,SF,CHI,REG,2025,17,2025-12-28,"12/28/25, 20:23:26",2025_17_CHI_SF,Levi's Stadium,outdoors,grass,Sunny ,53,65,SE 5
243,WAS,DAL,REG,2025,17,2025-12-25,"12/25/25, 13:03:13",2025_17_DAL_WAS,FedExField,outdoors,grass,Sunny ,50,53,E 7
244,KC,DEN,REG,2025,17,2025-12-25,"12/25/25, 20:16:12",2025_17_DEN_KC,GEHA Field at Arrowhead Stadium,outdoors,grass,,57,99,East 3
245,MIN,DET,REG,2025,17,2025-12-25,"12/25/25, 16:36:55",2025_17_DET_MIN,U.S. Bank Stadium,dome,sportturf,,32,89,SE 11
246,LAC,HOU,REG,2025,17,2025-12-27,"12/27/25, 16:32:44",2025_17_HOU_LAC,SoFi Stadium,dome,matrixturf,Sunny ,61,60,SW 2
247,IND,JAX,REG,2025,17,2025-12-28,"12/28/25, 13:02:36",2025_17_JAX_IND,Lucas Oil Stadium,closed,fieldturf,Cloudy ,64,87,S 3
248,ATL,LA,REG,2025,17,2025-12-29,"12/29/25, 20:15:47",2025_17_LA_ATL,Mercedes-Benz Stadium,closed,fieldturf,None ,None,None,NE None
249,NYJ,NE,REG,2025,17,2025-12-28,"12/28/25, 13:02:28",2025_17_NE_NYJ,MetLife Stadium,outdoors,fieldturf,Cloudy and Cold ,29,81,SW 4
250,TEN,NO,REG,2025,17,2025-12-28,"12/28/25, 13:02:37",2025_17_NO_TEN,Nissan Stadium,outdoors,grass,Cloudy ,71,71,SW 14
251,LV,NYG,REG,2025,17,2025-12-28,"12/28/25, 16:05:28",2025_17_NYG_LV,Allegiant Stadium,dome,grass,,58,24,NE 11
252,BUF,PHI,REG,2025,17,2025-12-28,"12/28/25, 16:25:35",2025_17_PHI_BUF,New Era Field,outdoors,a_turf,Rain ,38,94,S 6
253,CLE,PIT,REG,2025,17,2025-12-28,"12/28/25, 13:02:46",2025_17_PIT_CLE,FirstEnergy Stadium,outdoors,grass,Rain ,45,95,S 14
254,CAR,SEA,REG,2025,17,2025-12-28,"12/28/25, 13:02:26",2025_17_SEA_CAR,Bank of America Stadium,outdoors,grass,Cloudy ,43,94,E 2
255,MIA,TB,REG,2025,17,2025-12-28,"12/28/25, 13:02:30",2025_17_TB_MIA,Hard Rock Stadium,outdoors,grass,Sunny ,80,51,E 3
256,LA,ARI,REG,2025,18,2026-01-04,"1/4/26, 16:25:16",2025_18_ARI_LA,SoFi Stadium,dome,matrixturf,Cloudy ,61,86,SE 4
257,PIT,BAL,REG,2025,18,2026-01-04,"1/4/26, 20:22:59",2025_18_BAL_PIT,Acrisure Stadium,outdoors,grass,Cloudy ,25,81,W 3
258,TB,CAR,REG,2025,18,2026-01-03,"1/3/26, 16:30:59",2025_18_CAR_TB,Raymond James Stadium,outdoors,grass,Rain ,69,85,W 11
259,CIN,CLE,REG,2025,18,2026-01-04,"1/4/26, 13:02:33",2025_18_CLE_CIN,Paycor Stadium,outdoors,fieldturf,Sunny ,37,56,NE 0
260,NYG,DAL,REG,2025,18,2026-01-04,"1/4/26, 13:02:37",2025_18_DAL_NYG,MetLife Stadium,outdoors,fieldturf,Fair ,33,52,NW 7
261,CHI,DET,REG,2025,18,2026-01-04,"1/4/26, 16:25:13",2025_18_DET_CHI,Soldier Field,outdoors,grass,Mostly Cloudy ,33,70,SE 4
262,MIN,GB,REG,2025,18,2026-01-04,"1/4/26, 13:03:02",2025_18_GB_MIN,U.S. Bank Stadium,dome,sportturf,,25,87,SE 13
263,HOU,IND,REG,2025,18,2026-01-04,"1/4/26, 13:02:30",2025_18_IND_HOU,NRG Stadium,closed,astroturf,,61,67,W 6
264,LV,KC,REG,2025,18,2026-01-04,"1/4/26, 16:25:25",2025_18_KC_LV,Allegiant Stadium,dome,grass,,60,55,S 15
265,DEN,LAC,REG,2025,18,2026-01-04,"1/4/26, 16:25:35",2025_18_LAC_DEN,Empower Field at Mile High,outdoors,grass,Sunny ,69,7,SE 16
266,NE,MIA,REG,2025,18,2026-01-04,"1/4/26, 16:25:32",2025_18_MIA_NE,Gillette Stadium,outdoors,fieldturf,Partly Cloudy ,29,56,SE 6
267,ATL,NO,REG,2025,18,2026-01-04,"1/4/26, 13:02:57",2025_18_NO_ATL,Mercedes-Benz Stadium,closed,fieldturf,None ,None,None,NE None
268,BUF,NYJ,REG,2025,18,2026-01-04,"1/4/26, 16:25:26",2025_18_NYJ_BUF,New Era Field,outdoors,a_turf,Cloudy ,27,75,W 13
269,SF,SEA,REG,2025,18,2026-01-03,"1/3/26, 20:08:18",2025_18_SEA_SF,Levi's Stadium,outdoors,grass,Cloudy ,57,81,N 8
270,JAX,TEN,REG,2025,18,2026-01-04,"1/4/26, 13:02:24",2025_18_TEN_JAX,TIAA Bank Stadium,outdoors,grass,,58,76,NE 7
271,PHI,WAS,REG,2025,18,2026-01-04,"1/4/26, 16:25:23",2025_18_WAS_PHI,Lincoln Financial Field,outdoors,grass,Clear ,35,47,NW 9
272,JAX,BUF,POST,2025,19,2026-01-11,"1/11/26, 13:02:34",2025_19_BUF_JAX,TIAA Bank Stadium,outdoors,grass,,62,80,NW 6
273,CHI,GB,POST,2025,19,2026-01-10,"1/10/26, 20:11:30",2025_19_GB_CHI,Soldier Field,outdoors,grass,Mostly Cloudy ,32,80,W 6
274,PIT,HOU,POST,2025,19,2026-01-12,"1/12/26, 20:17:03",2025_19_HOU_PIT,Acrisure Stadium,outdoors,grass,Clear ,32,65,SW 9
275,NE,LAC,POST,2025,19,2026-01-11,"1/11/26, 20:16:31",2025_19_LAC_NE,Gillette Stadium,outdoors,fieldturf,Clear ,35,69,SE 10
276,CAR,LA,POST,2025,19,2026-01-10,"1/10/26, 16:33:54",2025_19_LA_CAR,Bank of America Stadium,outdoors,grass,Mostly Cloudy ,72,61,SW 16
277,PHI,SF,POST,2025,19,2026-01-11,"1/11/26, 16:41:41",2025_19_SF_PHI,Lincoln Financial Field,outdoors,grass,Cloudy ,46,44,NW 22
278,DEN,BUF,POST,2025,20,2026-01-17,"1/17/26, 16:32:52",2025_20_BUF_DEN,Empower Field at Mile High,outdoors,grass,Sunny ,36,21,NE 5
279,NE,HOU,POST,2025,20,2026-01-18,"1/18/26, 15:03:01",2025_20_HOU_NE,Gillette Stadium,outdoors,fieldturf,Wintry Mix ,35,88,S 2
280,CHI,LA,POST,2025,20,2026-01-18,"1/18/26, 18:41:12",2025_20_LA_CHI,Soldier Field,outdoors,grass,Light Snow ,19,65,SW 6
281,SEA,SF,POST,2025,20,2026-01-17,"1/17/26, 20:21:27",2025_20_SF_SEA,Lumen Field,outdoors,fieldturf,Clear ,46,72,N 5
282,SEA,LA,POST,2025,21,2026-01-25,"1/25/26, 18:41:58",2025_21_LA_SEA,Lumen Field,outdoors,fieldturf,Sunny ,41,67,W 2
283,DEN,NE,POST,2025,21,2026-01-25,"1/25/26, 15:03:06",2025_21_NE_DEN,Empower Field at Mile High,outdoors,grass,Cloudy ,26,38,N 10
284,NE,SEA,POST,2025,22,2026-02-08,"2/8/26, 18:40:22",2025_22_SEA_NE,Levi's Stadium,outdoors,grass,,67,50,NW 7
